Id,Category
0,8
1,0
2,0
3,4
4,0
5,8
6,8
7,8
8,6
9,8
10,4
11,8
12,4
13,0
14,6
15,1
16,5
17,1
18,5
19,8
20,3
21,6
22,2
23,6
24,1
25,4
26,4
27,0
28,2
29,8
30,4
31,3
32,6
33,2
34,0
35,0
36,4
37,1
38,2
39,4
40,0
41,2
42,9
43,8
44,0
45,1
46,3
47,7
48,5
49,2
50,5
51,5
52,8
53,5
54,8
55,1
56,9
57,6
58,3
59,0
60,5
61,3
62,0
63,0
64,8
65,5
66,1
67,4
68,8
69,0
70,8
71,4
72,1
73,8
74,8
75,1
76,6
77,4
78,3
79,8
80,9
81,8
82,9
83,1
84,3
85,6
86,5
87,5
88,1
89,9
90,5
91,1
92,8
93,5
94,4
95,1
96,1
97,8
98,4
99,4
100,3
101,5
102,3
103,6
104,5
105,9
106,9
107,0
108,8
109,2
110,9
111,9
112,3
113,5
114,5
115,8
116,6
117,1
118,8
119,0
120,9
121,1
122,0
123,8
124,4
125,5
126,1
127,8
128,3
129,1
130,8
131,8
132,1
133,5
134,0
135,6
136,6
137,1
138,0
139,9
140,1
141,5
142,3
143,0
144,0
145,6
146,4
147,3
148,8
149,6
150,4
151,9
152,9
153,4
154,6
155,3
156,4
157,6
158,1
159,1
160,1
161,0
162,0
163,5
164,5
165,3
166,2
167,3
168,5
169,2
170,8
171,4
172,3
173,8
174,6
175,1
176,8
177,6
178,0
179,5
180,8
181,8
182,5
183,1
184,1
185,8
186,5
187,8
188,6
189,4
190,4
191,0
192,1
193,4
194,5
195,8
196,7
197,0
198,3
199,4
200,0
201,7
202,8
203,8
204,3
205,9
206,9
207,0
208,5
209,5
210,1
211,1
212,5
213,0
214,5
215,0
216,2
217,6
218,3
219,4
220,4
221,0
222,6
223,8
224,6
225,8
226,5
227,5
228,8
229,6
230,9
231,3
232,4
233,6
234,5
235,3
236,2
237,3
238,8
239,0
240,9
241,8
242,5
243,1
244,1
245,8
246,8
247,3
248,0
249,9
250,7
251,9
252,1
253,2
254,8
255,5
256,4
257,5
258,5
259,3
260,0
261,9
262,4
263,5
264,2
265,7
266,8
267,3
268,5
269,6
270,8
271,0
272,4
273,8
274,3
275,6
276,9
277,1
278,8
279,5
280,3
281,4
282,6
283,4
284,6
285,1
286,0
287,5
288,0
289,2
290,5
291,0
292,4
293,3
294,0
295,9
296,7
297,3
298,5
299,2
300,0
301,9
302,2
303,6
304,5
305,0
306,4
307,0
308,3
309,8
310,5
311,8
312,6
313,3
314,1
315,4
316,8
317,5
318,1
319,3
320,6
321,4
322,1
323,6
324,4
325,5
326,2
327,8
328,5
329,0
330,9
331,1
332,9
333,8
334,5
335,9
336,5
337,3
338,5
339,6
340,9
341,8
342,8
343,3
344,8
345,1
346,1
347,6
348,3
349,7
350,6
351,3
352,2
353,7
354,3
355,4
356,3
357,3
358,2
359,5
360,1
361,6
362,6
363,4
364,5
365,5
366,5
367,2
368,3
369,0
370,4
371,0
372,0
373,2
374,4
375,5
376,8
377,5
378,5
379,5
380,8
381,1
382,5
383,1
384,9
385,3
386,8
387,9
388,0
389,5
390,6
391,5
392,8
393,6
394,5
395,8
396,1
397,0
398,4
399,6
400,7
401,3
402,8
403,5
404,1
405,3
406,8
407,1
408,1
409,5
410,6
411,1
412,9
413,1
414,8
415,1
416,5
417,8
418,8
419,3
420,0
421,4
422,3
423,0
424,9
425,5
426,3
427,8
428,0
429,2
430,6
431,5
432,8
433,8
434,3
435,1
436,2
437,8
438,1
439,3
440,5
441,5
442,0
443,9
444,3
445,4
446,0
447,1
448,8
449,6
450,5
451,4
452,6
453,8
454,1
455,9
456,3
457,3
458,3
459,5
460,7
461,4
462,0
463,5
464,8
465,2
466,0
467,9
468,3
469,8
470,0
471,5
472,8
473,5
474,8
475,8
476,8
477,5
478,3
479,9
480,4
481,8
482,5
483,0
484,5
485,0
486,6
487,8
488,6
489,2
490,1
491,5
492,9
493,8
494,8
495,9
496,5
497,8
498,3
499,8
500,8
501,8
502,4
503,5
504,1
505,8
506,3
507,7
508,8
509,8
510,8
511,5
512,5
513,8
514,3
515,5
516,9
517,1
518,3
519,1
520,1
521,0
522,5
523,8
524,1
525,8
526,6
527,5
528,5
529,8
530,3
531,3
532,2
533,5
534,2
535,3
536,4
537,0
538,6
539,5
540,1
541,8
542,5
543,3
544,9
545,0
546,4
547,5
548,0
549,0
550,8
551,1
552,8
553,8
554,5
555,3
556,5
557,5
558,8
559,9
560,3
561,5
562,2
563,4
564,5
565,2
566,1
567,4
568,1
569,1
570,5
571,2
572,9
573,1
574,0
575,4
576,1
577,0
578,4
579,0
580,5
581,4
582,0
583,8
584,5
585,9
586,5
587,0
588,9
589,8
590,3
591,9
592,6
593,8
594,2
595,6
596,0
597,6
598,5
599,5
600,1
601,8
602,8
603,0
604,5
605,5
606,0
607,1
608,5
609,8
610,7
611,8
612,4
613,4
614,3
615,3
616,1
617,0
618,5
619,7
620,4
621,2
622,4
623,5
624,0
625,3
626,4
627,5
628,0
629,1
630,5
631,0
632,3
633,5
634,3
635,0
636,1
637,3
638,5
639,5
640,4
641,6
642,9
643,8
644,0
645,9
646,7
647,5
648,0
649,4
650,1
651,5
652,4
653,5
654,1
655,3
656,2
657,9
658,0
659,1
660,8
661,5
662,5
663,1
664,8
665,6
666,9
667,8
668,8
669,0
670,0
671,9
672,3
673,5
674,8
675,6
676,1
677,9
678,5
679,6
680,3
681,5
682,3
683,8
684,5
685,4
686,0
687,1
688,4
689,3
690,5
691,5
692,2
693,8
694,0
695,1
696,8
697,4
698,6
699,7
700,5
701,0
702,8
703,3
704,0
705,3
706,0
707,8
708,0
709,7
710,3
711,9
712,1
713,6
714,8
715,8
716,8
717,2
718,8
719,2
720,5
721,9
722,8
723,9
724,8
725,3
726,3
727,8
728,8
729,8
730,8
731,3
732,9
733,4
734,0
735,5
736,9
737,5
738,8
739,8
740,5
741,8
742,4
743,8
744,8
745,7
746,3
747,3
748,1
749,5
750,2
751,2
752,4
753,5
754,8
755,6
756,5
757,5
758,3
759,0
760,6
761,4
762,0
763,6
764,2
765,1
766,4
767,4
768,5
769,6
770,6
