trial,reg,decay,momentum,epochs,lr,acc
0,5e-05,0.9,0.87,60,0.01,78
1,5e-05,0.9,0.87,90,0.1,81
2,5e-05,0.9,0.87,90,0.01,79
3,0.00025,0.9,0.87,90,0.1,82
4,0.00025,0.9,0.87,60,0.01,78
5,0.00025,0.9,0.89,90,0.1,81
6,0.00125,0.88,0.89,90,0.01,79
7,0.00125,0.88,0.89,90,0.1,78
8,0.00125,0.88,0.89,60,0.01,78
9,0.00625,0.88,0.89,90,0.1,61
10,0.00625,0.88,0.91,90,0.01,79
11,0.00625,0.88,0.91,90,0.1,60
12,0.03125,0.86,0.91,60,0.01,73
13,0.03125,0.86,0.91,90,0.1,20
14,0.03125,0.86,0.91,90,0.01,66
15,0.15625,0.86,0.93,90,0.1,10
16,0.15625,0.86,0.93,60,0.01,10
17,0.15625,0.86,0.93,90,0.1,10
18,0.78125,0.84,0.93,90,0.01,10
19,0.78125,0.84,0.93,90,0.1,10
20,0.78125,0.84,0.9500000000000001,60,0.01,10
21,3.90625,0.84,0.9500000000000001,90,0.1,10
22,3.90625,0.84,0.9500000000000001,90,0.01,10
23,3.90625,0.84,0.9500000000000001,90,0.1,10
24,19.53125,0.82,0.9500000000000001,60,0.01,10
